Drug,N.Targets,N.Seedgenes,d.avg,zscore,pvalue
C0LR8A,1,7,3.0,0.5675318095554227,0.92
C0LRS2,1,7,3.0,,0.0
C0LT3C,1,4,3.0,0.0,0.0
C0LTB9,3,11,2.6666666666666665,0.5459564115674083,0.63
C0LU3T,1,19,4.0,3.025207182525229,1.0
C0LV4T,1,7,4.0,1.6039133565428894,1.0
C0LYA4,1,1,3.0,-1.083472677771923,0.46
C0LZ4U,1,19,3.0,,0.0
C0LZU6,1,19,4.0,3.025207182525229,1.0
C0M2BY,1,7,3.0,,0.0
C0MBP3,1,19,3.0,0.7145446229081069,1.0
C0MC4D,1,4,3.0,-0.5310850045437948,0.78
C0MCW3,3,7,3.0,0.5836437135298302,1.0
C0MF7P,1,7,2.0,,0.0
C0MK9H,1,1,3.0,-1.083472677771923,0.46
C0MKN9,2,7,0.5,-4.4117253386085205,0.0
C0MNT2,1,7,3.0,0.3908940464153314,0.92
C0MVY6,1,19,3.0,,0.0
C0MYB6,1,11,3.0,0.8320502943378437,1.0
C0N3LP,1,19,3.0,0.36288736930121185,0.97
C0N3RW,1,1,2.0,,0.0
C0N4YM,1,1,3.0,-1.083472677771923,0.46
C0N5DY,1,19,3.0,,0.0
C0N5JW,1,19,4.0,3.446561747421316,1.0
C0N6DO,4,4,3.25,-0.11344737505697756,0.39
C0N6KU,1,19,3.0,,0.0
C0N7RV,2,1,2.0,0.0,0.0
C0N8OF,1,7,1.0,,0.0
C0NC7H,2,11,3.0,0.7138448179310528,0.93
C0NEW2,1,7,1.0,,0.0
C0NFL2,1,7,3.0,0.4418360821684621,1.0
C0NGP8,1,7,2.0,-1.4919136877222166,0.31
C0NIA6,1,19,4.0,2.9707231276484296,1.0
C0NJ6Y,1,7,2.0,,0.0
C0NKU8,1,7,2.0,,0.0
C0NM1C,3,1,2.0,-2.9623708453941133,0.0
C0NQO8,1,19,4.0,3.4465617474213164,1.0
C0NRO9,1,7,3.0,0.3908940464153314,0.92
C0NT5I,1,19,4.0,2.9707231276484296,1.0
C0NTV6,1,4,3.0,-0.5471529031050638,0.26
C0NUI2,1,7,1.0,,0.0
C0NXS3,1,19,3.0,,0.0
C0NY3F,1,7,3.0,,0.0
C0NZW8,1,19,4.0,2.9707231276484296,1.0
C0O2NM,1,7,2.0,-0.07474350927519333,0.75
C0O4ID,1,7,0.0,-5.447341615277187,0.0
C0O4NS,1,4,3.0,-0.5471529031050638,0.26
C0O5BA,2,7,3.0,0.6666666666666665,1.0
C0O7AB,1,19,3.0,,0.0
C0OAD3,1,1,2.0,,0.0
C0OBW7,1,19,3.0,,0.0
C0OE3C,1,1,2.0,0.0,0.0
C0OG4J,1,11,3.0,0.8320502943378437,1.0
C0OGZ2,1,7,2.0,,0.0
C0OH4L,1,19,3.0,0.6989262981388239,0.97
C0OHJ7,1,19,3.0,,0.0
C0ONJ3,1,7,2.0,,0.0
C0OP5K,1,7,2.0,-0.07474350927519333,0.75
C0OQ9H,1,19,3.0,,0.0
C0OQF8,1,4,3.0,-0.5471529031050638,0.26
