"ID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O14495","PPAP2B",-1.85481915538499,21.9291457286432,-13.0636971583425,1.18581990231791e-28,5.52735190675252e-27,54.4305874363881
"O14497","ARID1A",1.64769650434431,27.8361809045226,13.0549048813254,1.26233726571138e-28,5.83372444077045e-27,54.3686206448065
"O14530","TXNDC9",-3.87538896746823,20.4954773869347,-13.0525088039689,1.28403224301537e-28,5.88369689659671e-27,54.3517339590995
"O14545","TRAFD1",-1.67662153970516,27.7713567839196,-13.0496660108258,1.3102556913464e-28,5.95340548160503e-27,54.3316992875781
"O14548","COX7A2L",-3.45364720145491,21.2467336683417,-13.0247062114051,1.56473139814325e-28,7.05041889146712e-27,54.1558087210171
"O14558","HSPB6",-1.96546777126695,20.7934673366834,-13.0214753459253,1.60109438572582e-28,7.1546424327434e-27,54.1330428682932
"O14561","NDUFAB1",-2.36224489795924,23.9366834170854,-13.009572990492,1.74249138857469e-28,7.67330706900326e-27,54.0491783736357
"O14562","UBFD1",-2.2279349363508,19.8236180904523,-13.0093266426948,1.74554608745589e-28,7.67330706900326e-27,54.0474426607041
"O14569","CYB561D2",-1.84538290563753,21.4753768844221,-12.9691679907236,2.3223067079609e-28,1.01263809435037e-26,53.7645288591705
"O14579","COPE",-2.17051929682767,21.9608040201005,-12.9549850961601,2.56863016127045e-28,1.11108666255915e-26,53.6646288358401
"O14602","EIF1AY;EIF1AX",-1.57935946655896,24.7964824120603,-12.9182214906228,3.33558047012806e-28,1.43138758745892e-26,53.4057199326269
"O14617","AP3D1",-1.93048090523342,21.7869346733668,-12.9135023179719,3.44933293457691e-28,1.46854670687066e-26,53.3724895625973
"O14618","CCS",-2.24437260052544,20.4452261306533,-12.9104144107497,3.52585438554169e-28,1.4893980205175e-26,53.3507464268381
"O14639","ABLIM1",3.35281875126283,26.443216080402,12.907848578208,3.5907268384213e-28,1.50504341204217e-26,53.3326797624752
"O14653","GOSR2",-1.71949888866446,22.2829145728643,-12.905540219669,3.65010790447506e-28,1.51452514998434e-26,53.3164263039425
"O14656","TOR1A",-1.51836734693885,21.6522613065327,-12.9047995139247,3.66936923706211e-28,1.51452514998434e-26,53.3112109503623
"O14657","TOR1B",-1.4582137805619,24.513567839196,-12.8819938003225,4.31480543470887e-28,1.76743583223264e-26,53.1506474449181
"O14662","STX16",-2.22019599919181,20.613567839196,-12.8589456184245,5.08239522188816e-28,2.06620383193604e-26,52.9884025934456
"O14672","ADAM10",-2.25072741968081,22.3678391959799,-12.8501252741324,5.41100151543102e-28,2.18337949208474e-26,52.9263198281053
"O14678","ABCD4",-1.83359264497889,25.8663316582915,-12.8416668610599,5.74604272356953e-28,2.30139651898818e-26,52.8667882153526
"O14681","EI24",-1.80068700747631,22.2241206030151,-12.808787191149,7.25732325641869e-28,2.88531962113646e-26,52.6354106791737
"O14727","APAF1",-2.06394221054763,22.3281407035176,-12.7623859068498,1.00889806383909e-27,3.97938433875915e-26,52.3089764532684
"O14734","ACOT8",-1.56899373610837,23.0402010050251,-12.7614480232279,1.01563720870864e-27,3.97938433875915e-26,52.3023796075963
"O14735","CDIPT",-2.04879773691662,21.0969849246231,-12.7568397901065,1.04940857400921e-27,4.08212385587613e-26,52.2699671099775
"O14737","PDCD5",-1.55569812083268,24.8477386934673,-12.7443388838665,1.1467777628088e-27,4.42901954536226e-26,52.182046505332
"O14744","PRMT5",-1.37785411194189,23.5115577889447,-12.7424601182283,1.16217181691621e-27,4.45664043550775e-26,52.1688336292291
"O14745","SLC9A3R1",-2.92514649424131,19.6713567839196,-12.6933649283284,1.64653612060513e-27,6.26959211557178e-26,51.823629832801
"O14756","HSD17B6",-1.54952515659729,24.7190954773869,-12.6893344616431,1.69429784089516e-27,6.40634155644765e-26,51.7952964356403
"O14772","FPGT",-1.47014548393617,24.051256281407,-12.6825089822385,1.77835813448499e-27,6.67748780080581e-26,51.7473167845413
"O14773","TPP1",-1.4146797332795,23.7904522613065,-12.6673363421543,1.98044340368106e-27,7.38500516117484e-26,51.640670554547
"O14776","TCERG1",-2.53941200242479,20.4286432160804,-12.6555825505971,2.15262865171735e-27,7.97209802728475e-26,51.5580642025937
