ABCB11,MRPS7
ABCB11,SLCO1B1
ABCB11,BAAT
ABCB11,CYP2C9
ABCB11,SLCO1B3
ABCB11,SLC27A5
ABCB11,ATP11C
ABCB11,ABCC3
ABCB11,CYP2B6
ABCB11,CYP2E1
ABCB11,CARM1
ABCB11,CYP2C8
ABCB11,DNAJC3
ABCB11,VPS33B
ABCB11,ABCF1
ABCB11,ABCF3
ABCB11,CYP1A2
ABCB11,CROT
ABCB11,UGT2B4
ABCB11,UGT1A6
ABCB11,GPT
ABCB11,UGT1A1
ABCB11,SLC22A1
ABCB11,CYP3A4
ABCB11,SLCO2B1
ABCB11,CYP8B1
ABCB11,CYP7A1
ABCB6,ABCF2
ABCB6,TSG101
ABCB6,BCKDHB
ABCB6,SLC46A1
ABCB6,TFRC
ABCB6,MRPS14
ABCB6,ABCF1
ABCB6,ALAD
ABCB6,ABCF3
ABCB6,ATP1B3
ABCB6,PPOX
ABCC3,SULT2A1
ABCC3,MRPS7
ABCC3,SLCO1B1
ABCC3,CYP2C9
ABCC3,SLCO1B3
ABCC3,MVP
ABCC3,ALDH6A1
ABCC3,ABCF3
ABCC3,UGT2B7
ABCC3,CYP2B6
ABCC3,TPR
ABCC3,CYP3A4
ABCC3,UGT1A6
ABCC3,UGT1A1
ABCC3,SLC22A1
ABCC3,CYP8B1
ABCC3,NUP93
ABCC3,CYP7A1
ABCC3,SLCO2B1
ABCC6,SLCO2B1
ABCC6,PDXDC1
ABCC6,MRPS7
ABCD1,ACOT8
ABCD1,AKR1D1
ABCD1,HMGCL
ABCD1,ACSL3
ABCD1,ABCF2
ABCD1,ACSL4
ABCD1,ABCF1
ABCD1,GPT
ABCD1,FARSB
ABCD1,ZFPL1
ABCD1,PEX11G
ABCD1,ADHFE1
ABCD1,PEX1
ABCD1,ECHS1
ABCD1,ACAA1
ABCD1,ACSL5
ABCD1,GNPAT
ABCD1,BAAT
ABCD1,ABCF3
ABCD1,ACSL1
ABCD1,ACOX2
ABCD1,PBDC1
ABCD1,CAT
ABCD1,SCP2
ABCD1,HEPACAM
ABCD1,PEX6
ABCD1,AGPS
ABCD1,SLC27A2
ABCD1,PXMP2
ABCD1,PXMP4
ABCD1,PEX16
ABCD1,PEX11B
ABCF1,EIF3D
ABCF1,MRPS7
ABCF1,MRPL15
ABCF1,SNW1
ABCF1,EIF2AK4
ABCF1,MRPL3
ABCF1,SUB1
ABCF1,MRPS5
ABCF1,FARSB
ABCF1,EIF5B
ABCF1,NUP93
ABCF1,XRCC6
ABCF1,SSB
ABCF1,MRPL1
ABCF1,CMTR1
ABCF1,CDC5L
ABCF1,PRPF8
ABCF1,TUBB2A
ABCF1,EFTUD2
ABCF1,RPL23
ABCF1,NUDC
ABCF1,HEATR1
ABCF1,MYBBP1A
ABCF1,VARS
ABCF1,EIF3H
ABCF1,EIF3B
ABCF1,GNL1
ABCF1,LARS
ABCF1,EIF2S2
ABCF1,RPL36A
ABCF1,RPL24
ABCF1,DHX9
ABCF2,AHSA1
ABCF2,FBL
ABCF2,HSPH1
ABCF2,MRPS5
ABCF2,NAT10
ABCF2,DDX3X
ABCF2,MRPS11
ABCF2,MRPL1
ABCF2,MRPL15
ABCF2,GNL3
ABCF2,MRPL3
ABCF2,TRMT1
ABCF2,CTPS2
ABCF2,PABPC1
ABCF2,POLR1C
ABCF2,EIF3A
ABCF2,GNL1
ABCF2,RPL23
ABCF2,NSUN2
ABCF2,ETF1
ABCF2,COG7
ABCF2,NOP56
ABCF2,EIF2A
ABCF2,RPL21
ABCF2,RPL24
ABCF2,ABCF3
ABCF2,GAR1
ABCF2,IPO4
ABCF2,EFTUD1
ABCF2,GMPS
ABCF2,ZC3H15
ABCF2,EIF3B
ABCF2,MRPS7
ABCF2,DKC1
ABCF2,CTPS1
