"GeneName","DrugID"
"AKR1B10","DB00605"
"AKR1B10","DB02383"
"AKR1B10","DB03461"
"AKR1B10","DB02021"
"AKR1C4","DB00157"
"AKR1D1","DB07557"
"AKR1D1","DB07447"
"AKR1D1","DB01216"
"AKR1D1","DB00548"
"ALAD","DB02878"
"ALAD","DB02068"
"ALAD","DB02260"
"ALAD","DB02239"
"ALAD","DB04781"
"ALAD","DB00855"
"ALAD","DB04560"
"ALAD","DB02272"
"ALDH18A1","DB00142"
"ALDH1B1","DB00157"
"ALDH1L1","DB00116"
"ALDH2","DB00157"
"ALDH2","DB00536"
"ALDH2","DB04381"
"ALDH2","DB00822"
"ALDH2","DB02115"
"ALDH4A1","DB00157"
"ALDH6A1","DB00157"
"ALDOB","DB02515"
"ALDOB","DB02512"
"ALDOB","DB04326"
"ALOX5","DB00471"
"ALOX5","DB01892"
"ALOX5","DB12010"
"ALOX5","DB00159"
"ALOX5","DB11994"
"ALOX5","DB01017"
"ALOX5","DB01014"
"ALOX5","DB09285"
"ALOX5","DB00233"
"ALOX5","DB00711"
"ALOX5","DB00939"
"ALOX5","DB14002"
"ALOX5","DB02709"
"ALOX5","DB05431"
"ALOX5","DB00244"
"ALOX5","DB14001"
"ALOX5","DB04725"
"ALOX5","DB00744"
"ALOX5","DB13174"
"ALOX5","DB00795"
"ALOX5","DB00179"
"ALOX5","DB00163"
"ANGPTL3","DB15354"
"ANO1","DB04941"
"ANTXR2","DB05945"
"ANXA2","DB00031"
"ANXA2","DB00591"
"ANXA2","DB11638"
"ANXA2","DB06245"
"AOC3","DB00780"
"AOC3","DB04334"
"AOC3","DB01275"
"AOX1","DB00924"
"AOX1","DB03516"
"APEX1","DB04967"
"APOA4","DB01593"
"APOA4","DB14487"
"APOA4","DB09130"
"APOE","DB14548"
"APOE","DB01593"
"APOE","DB14533"
"APOE","DB14487"
"APOE","DB09130"
"APP","DB06782"
"APP","DB03754"
"APP","DB12274"
"APP","DB14518"
"APP","DB14580"
"APP","DB02709"
"APP","DB05088"
"APP","DB01370"
"APP","DB01593"
"APP","DB09151"
"APP","DB09130"
"APP","DB14548"
"APP","DB05150"
"APP","DB05938"
"APP","DB05846"
"APP","DB04892"
"APP","DB14487"
"APP","DB00746"
"APP","DB12034"
"APP","DB09149"
"APP","DB09148"
"APP","DB02235"
"APP","DB14533"
"APP","DB14517"
"ARG1","DB04530"
"ARG1","DB04585"
"ARG1","DB03731"
"ARG1","DB03904"
"ARG1","DB02499"
"ARG1","DB02689"
"ARG1","DB04648"
"ARG1","DB02381"
"ARG1","DB04197"
"ARG1","DB03144"
"ARG1","DB00129"
"ARG1","DB01983"
"ARG1","DB06757"
"ARL1","DB04315"
"ASGR2","DB13998"
"ASGR2","DB00025"
"ASGR2","DB13999"
"ASL","DB02267"
"ASL","DB00125"
"ASL","DB03814"
"ASNA1","DB00171"
"ASPG","DB00721"
"ASS1","DB00171"
"ASS1","DB00155"
"ASS1","DB00125"
"ASS1","DB00128"
"ATOX1","DB00515"
"ATOX1","DB02772"
"ATOX1","DB03127"
"ATP2B1","DB01159"
"ATP6V0A1","DB01133"
"ATP6V1C1","DB09552"
"ATP6V1C1","DB01694"
"B4GALT1","DB03013"
"B4GALT1","DB02696"
"B4GALT1","DB03501"
"B4GALT1","DB03685"
"B4GALT1","DB00141"
"B4GALT1","DB03814"
"BAAT","DB00145"
"BAX","DB12756"
"BBOX1","DB00126"
"BCAT2","DB04074"
"BCAT2","DB00142"
"BCAT2","DB00149"
"BCAT2","DB02635"
"BCAT2","DB00114"
"BCAT2","DB02142"
"BCAT2","DB00167"
"BCKDK","DB02930"
"BDH1","DB00157"
"BHMT","DB06756"
"BHMT","DB02337"
"BHMT","DB00134"
"BHMT2","DB00134"
"BLVRA","DB00157"
"BRCC3","DB01593"
"BRCC3","DB14548"
"BRCC3","DB14487"
"BRCC3","DB14533"
"CA2","DB01964"
"CA2","DB01942"
"CA2","DB09460"
"CA2","DB03844"
"CA2","DB08202"
"CA2","DB00436"
"CA2","DB08301"
"CA2","DB02602"
"CA2","DB02069"
"CA2","DB00580"
"CA2","DB00880"
"CA2","DB00869"
"CA2","DB01784"
"CA2","DB07363"
"CA2","DB02220"
"CA2","DB07048"
"CA2","DB01031"
"CA2","DB08782"
"CA2","DB08156"
"CA2","DB02479"
"CA2","DB04089"
"CA2","DB08046"
"CA2","DB04002"
"CA2","DB00232"
"CA2","DB00703"
"CA2","DB07596"
"CA2","DB04763"
"CA2","DB02610"
"CA2","DB02221"
"CA2","DB08157"
"CA2","DB02894"
"CA2","DB03877"
"CA2","DB02861"
"CA2","DB03904"
"CA2","DB00695"
"CA2","DB04081"
"CA2","DB03598"
"CA2","DB08645"
"CA2","DB02986"
"CA2","DB03526"
"CA2","DB02292"
"CA2","DB02087"
"CA2","DB04549"
"CA2","DB03262"
"CA2","DB00909"
"CA2","DB01325"
"CA2","DB08846"
"CA2","DB03594"
"CA2","DB04203"
"CA2","DB00482"
"CA2","DB04394"
"CA2","DB01119"
"CA2","DB07742"
"CA2","DB09472"
"CA2","DB04180"
"CA2","DB00819"
"CA2","DB08659"
"CA2","DB02866"
"CA2","DB03385"
"CA2","DB03596"
"CA2","DB00606"
"CA2","DB07050"
"CA2","DB01021"
"CA2","DB00273"
"CA2","DB03697"
"CA2","DB02535"
"CA2","DB08418"
"CA2","DB08165"
"CA2","DB07632"
"CA2","DB03270"
"CA2","DB03221"
"CA2","DB07476"
"CA2","DB01748"
"CA2","DB08765"
"CA2","DB08416"
"CA2","DB00391"
"CA2","DB01194"
"CA2","DB02679"
"CA2","DB08155"
"CA2","DB04601"
"CA2","DB03294"
"CA2","DB07467"
"CA2","DB08083"
"CA2","DB03975"
"CA2","DB07710"
"CA2","DB04371"
"CA2","DB01671"
"CA2","DB00311"
"CA2","DB01144"
"CA2","DB02429"
"CA2","DB06891"
"CA2","DB06954"
"CA2","DB03333"
"CA2","DB03039"
"CA2","DB00562"
"CA2","DB03950"
"CA2","DB00774"
"CA2","DB08329"
"CA2","DB04600"
"CA5A","DB00909"
"CA5A","DB03385"
"CA5A","DB08846"
"CA5A","DB01194"
"CAD","DB03459"
"CAMK1D","DB12010"
"CAMK1D","DB08454"
"CASP3","DB05408"
"CASP3","DB08229"
"CASP3","DB08497"
"CASP3","DB06862"
"CASP3","DB01017"
"CASP3","DB08499"
"CASP3","DB12843"
"CASP3","DB13751"
"CASP3","DB03124"
"CASP3","DB00945"
"CASP3","DB12709"
"CASP3","DB08498"
"CASP3","DB08213"
"CASP3","DB00282"
"CASP3","DB08251"
"CASP3","DB13048"
"CASP3","DB07696"
"CASP3","DB06255"
"CASP8","DB12651"
"CASP8","DB11752"
"CASP8","DB05103"
"CASP8","DB04297"
"CASP8","DB12843"
"CAT","DB09096"
"CAT","DB09061"
"CAT","DB14009"
"CAT","DB01213"
"CAT","DB14011"
"CD163","DB05389"
"CD38","DB09331"
"CD38","DB14811"
"CD38","DB16370"
"CD40","DB06360"
"CD40","DB12589"
"CDA","DB00928"
"CDA","DB15694"
"CDA","DB03185"
"CDK2","DB04669"
"CDK2","DB07685"
"CDK2","DB08125"
"CDK2","DB07054"
"CDK2","DB07534"
"CDK2","DB07688"
"CDK2","DB02603"
"CDK2","DB08538"
"CDK2","DB03307"
"CDK2","DB08441"
"CDK2","DB08355"
"CDK2","DB08463"
"CDK2","DB03365"
"CDK2","DB07562"
"CDK2","DB07595"
"CDK2","DB07791"
"CDK2","DB02052"
"CDK2","DB02010"
"CDK2","DB01888"
"CDK2","DB07538"
"CDK2","DB02733"
"CDK2","DB07493"
"CDK2","DB07065"
"CDK2","DB07612"
"CDK2","DB08534"
"CDK2","DB07606"
"CDK2","DB02091"
"CDK2","DB08532"
"CDK2","DB02915"
"CDK2","DB08132"
"CDK2","DB08138"
"CDK2","DB08768"
"CDK2","DB06944"
"CDK2","DB04288"
"CDK2","DB02197"
"CDK2","DB08066"
"CDK2","DB03663"
"CDK2","DB08219"
"CDK2","DB08094"
"CDK2","DB06616"
"CDK2","DB02538"
"CDK2","DB04407"
"CDK2","DB07982"
"CDK2","DB07529"
"CDK2","DB07755"
"CDK2","DB04662"
"CDK2","DB08539"
"CDK2","DB07761"
"CDK2","DB08536"
"CDK2","DB08122"
"CDK2","DB08218"
"CDK2","DB08134"
"CDK2","DB08136"
"CDK2","DB07024"
"CDK2","DB08124"
"CDK2","DB06976"
"CDK2","DB08535"
"CDK2","DB08285"
"CDK2","DB08137"
"CDK2","DB07179"
"CDK2","DB07687"
"CDK2","DB15442"
"CDK2","DB04101"
"CDK2","DB02297"
"CDK2","DB07137"
"CDK2","DB07471"
"CDK2","DB07539"
"CDK2","DB07852"
"CDK2","DB07203"
"CDK2","DB06195"
"CDK2","DB04006"
"CDK2","DB07936"
"CDK2","DB03428"
"CDK2","DB07164"
"CDK2","DB08531"
"CDK2","DB08233"
"CDK2","DB06983"
"CDK2","DB06844"
"CDK2","DB08135"
"CDK2","DB03801"
"CDK2","DB08133"
"CDK2","DB08141"
"CDK2","DB08178"
"CDK2","DB03490"
"CDK2","DB08182"
"CDK2","DB03583"
"CDK2","DB03496"
"CDK2","DB02963"
"CDK2","DB07540"
"CDK2","DB04607"
"CDK2","DB08140"
"CDK2","DB07533"
"CDK2","DB07431"
"CDK2","DB08677"
"CDK2","DB02407"
"CDK2","DB07686"
"CDK2","DB08572"
"CDK2","DB02950"
"CDK2","DB07750"
"CDK2","DB08527"
"CDK2","DB03737"
"CDK2","DB02973"
"CDK2","DB02647"
"CDK2","DB07622"
"CDK2","DB07751"
"CDK2","DB04186"
"CDK2","DB08533"
"CDK2","DB08248"
"CDK2","DB06888"
"CDK2","DB08139"
"CDK2","DB06948"
"CDK2","DB08142"
"CDK2","DB07618"
"CDK2","DB07220"
"CDK2","DB08673"
"CDK2","DB02898"
"CDK2","DB08241"
"CDK2","DB07163"
"CDK2","DB07731"
"CDK2","DB08537"
"CDK2","DB07210"
"CDK2","DB07504"
"CDK2","DB08123"
"CDK2","DB07126"
"CDK2","DB04518"
"CDK2","DB02116"
"CDK2","DB08309"
"CDK2","DB08312"
"CDK2","DB08247"
"CDK2","DB08694"
"CDK2","DB07889"
"CDK2","DB08126"
"CDK2","DB03019"
"CDK2","DB07501"
"CDK2","DB07531"
"CDK2","DB02833"
"CDK2","DB07790"
"CDK5","DB02116"
"CDK5","DB02950"
"CDK5","DB15442"
"CDK5","DB02052"
"CDK5","DB07364"
"CDK5","DB03496"
"CDK5","DB04014"
"CDK5","DB03428"
"CDK6","DB03496"
"CDK6","DB07379"
"CDK6","DB12001"
"CDK6","DB09073"
"CDK6","DB11730"
"CDK6","DB15442"
"CDK6","DB07795"
"CDK9","DB16656"
"CDK9","DB06195"
"CDK9","DB03496"
"CDK9","DB15442"
"CES1","DB04795"
"CES1","DB03056"
"CES1","DB00907"
"CES1","DB00583"
"CES1","DB01452"
"CES1","DB02659"
"CES1","DB00454"
"CES1","DB07821"
"CES1","DB06442"
"CES1","DB02161"
"CES1","DB04838"
"CES1","DB01183"
"CES1","DB00647"
"CES1","DB08224"
"CES1","DB00382"
"CES1","DB01599"
"CES1","DB03721"
"CFH","DB09130"
"CFH","DB14487"
"CFH","DB01593"
"CFH","DB14533"
"CFH","DB14548"
"CLASP1","DB12010"
"CLIC1","DB09130"
"CLIC1","DB11638"
"CMTR1","DB00118"
"COL1A1","DB11338"
"COL1A1","DB13133"
"COL1A1","DB00048"
"COL1A1","DB12872"
"COL1A1","DB04866"
"COMT","DB00323"
"COMT","DB04820"
"COMT","DB02342"
"COMT","DB08049"
"COMT","DB00494"
"COMT","DB02105"
"COMT","DB03907"
"COMT","DB11632"
"COMT","DB03336"
"COMT","DB07462"
"COMT","DB00118"
"CPD","DB04489"
"CPS1","DB06775"
"CROT","DB00583"
"CROT","DB02648"
"CROT","DB03832"
"CRYM","DB05235"
"CSNK1A1","DB12010"
"CSNK2A2","DB12010"
"CSNK2A2","DB07546"
"CSNK2B","DB04216"
"CSNK2B","DB00171"
"CTH","DB04217"
"CTH","DB00114"
"CTH","DB00151"
"CTH","DB03928"
"CTH","DB02328"
"CTPS1","DB00130"
"CYP1A2","DB14011"
"CYP1A2","DB09061"
"CYP1A2","DB07453"
"CYP1A2","DB00951"
"CYP1A2","DB11994"
"CYP1A2","DB00827"
"CYP1A2","DB01058"
"CYP2A6","DB04665"
"CYP2A6","DB07621"
"CYP2A6","DB09327"
"CYP2A6","DB07617"
"CYP2A6","DB07609"
"CYP2A6","DB07623"
"CYP2B6","DB04664"
"CYP2B6","DB04794"
"CYP2B6","DB08369"
"CYP2B6","DB02974"
"CYP2C8","DB00916"
"CYP2C8","DB08607"
"CYP2C8","DB00951"
"CYP2C8","DB03796"
"CYP2C9","DB11994"
"CYP2C9","DB06803"
"CYP2C9","DB03317"
"CYP2C9","DB12319"
"CYP2D6","DB09061"
"CYP2D6","DB01096"
"CYP2D6","DB11994"
"CYP2D6","DB14011"
"CYP2E1","DB04858"
"CYP2E1","DB11994"
"CYP3A4","DB11994"
"CYP3A4","DB00951"
"CYP3A4","DB04572"
"CYP3A4","DB00911"
"CYP3A4","DB00243"
"CYP3A4","DB06419"
"CYP3A4","DB00254"
"CYP3A4","DB01609"
"CYP3A4","DB06634"
"CYP3A4","DB04911"
"CYP3A4","DB14984"
"CYP3A4","DB00976"
"CYP3A4","DB00954"
"CYP3A4","DB00143"
"CYP3A4","DB09065"
"CYP3A4","DB00987"
"CYP3A4","DB01152"
"CYP3A4","DB05478"
"CYP3A4","DB12674"
"CYP3A5","DB14011"
"CYP3A5","DB09061"
"CYP3A7","DB09061"
"CYP3A7","DB14011"
"CYP4A11","DB00157"
"CYP4F2","DB14003"
"CYP4F2","DB12151"
"CYP4F2","DB11251"
"DAO","DB04166"
"DAO","DB03225"
"DAO","DB07979"
"DAO","DB03147"
"DAO","DB03531"
"DAO","DB02838"
"DAO","DB02988"
"DAO","DB03793"
"DARS2","DB00128"
"DCXR","DB02831"
"DCXR","DB03461"
"DDX39B","DB11638"
"DDX5","DB11638"
"DDX6","DB01694"
"DHRS4","DB00162"
"DPP4","DB07328"
"DPP4","DB08024"
"DPP4","DB06993"
"DPP4","DB06203"
"DPP4","DB07465"
"DPP4","DB06994"
"DPP4","DB07021"
"DPP4","DB11723"
"DPP4","DB07271"
"DPP4","DB07135"
"DPP4","DB03660"
"DPP4","DB07412"
"DPP4","DB08044"
"DPP4","DB01076"
"DPP4","DB07081"
"DPP4","DB08429"
"DPP4","DB04876"
"DPP4","DB06939"
"DPP4","DB06011"
"DPP4","DB08382"
"DPP4","DB08164"
"DPP4","DB02004"
"DPP4","DB07067"
"DPP4","DB07015"
"DPP4","DB08882"
"DPP4","DB07193"
"DPP4","DB07779"
"DPP4","DB07154"
"DPP4","DB05001"
"DPP4","DB07482"
"DPP4","DB08743"
"DPP4","DB06880"
"DPP4","DB08051"
"DPP4","DB08672"
"DPP4","DB07851"
"DPP4","DB06127"
"DPP4","DB03253"
"DPP4","DB04491"
"DPP4","DB07666"
"DPP4","DB07356"
"DPP4","DB07072"
"DPP4","DB07830"
"DPP4","DB01261"
"DPP4","DB07092"
"DPP4","DB08530"
"DPP4","DB07239"
"DPP4","DB08445"
"DPP4","DB01884"
"DPP4","DB08504"
"DPP4","DB07181"
"DPP4","DB08588"
"DPP4","DB04578"
"DPP4","DB04577"
"DPP4","DB06335"
"DSP","DB14487"
"DSP","DB11638"
"DSP","DB01593"
"DTYMK","DB04395"
"DTYMK","DB01643"
"DTYMK","DB03150"
"DTYMK","DB03845"
"DTYMK","DB03280"
"DTYMK","DB03666"
"DTYMK","DB03233"
"DTYMK","DB03195"
"DUSP23","DB04214"
"DUT","DB04685"
"DUT","DB03413"
"ECHS1","DB04117"
"ECHS1","DB03059"
"ECHS1","DB02563"
"ECHS1","DB02910"
"ECHS1","DB09568"
"EEF1A2","DB04977"
"EFTUD1","DB04315"
"EFTUD1","DB03619"
"EFTUD1","DB02750"
"EGLN1","DB04847"
"EGLN1","DB14488"
"EGLN1","DB14490"
"EGLN1","DB07112"
"EGLN1","DB01592"
"EGLN1","DB11682"
"EGLN1","DB00126"
"EGLN1","DB14491"
"EGLN1","DB14501"
"EGLN1","DB14489"
"EGLN1","DB08687"
"EGLN1","DB12255"
"EHHADH","DB00157"
"EIF2AK2","DB07995"
"EIF2AK2","DB12010"
"EIF2AK2","DB00328"
"EIF2AK4","DB12010"
"ENO3","DB02726"
"ENO3","DB01709"
"ENO3","DB01819"
"ENO3","DB03645"
"EPCAM","DB06607"
"EPCAM","DB09336"
"EPCAM","DB05831"
"EPCAM","DB05319"
"EPCAM","DB11075"
"EPHX2","DB06345"
"EPHX2","DB02029"
"EPHX2","DB08257"
"EPHX2","DB04213"
"EPHX2","DB08259"
"EPHX2","DB12610"
"EPHX2","DB08258"
"EPHX2","DB08256"
"EPHX2","DB03677"
"ETFDH","DB00331"
"ETFDH","DB04141"
"F13A1","DB02340"
"F13A1","DB11571"
"F13A1","DB13151"
"F13A1","DB11300"
"F13A1","DB11311"
"F2","DB07005"
"F2","DB07211"
"F2","DB00100"
"F2","DB07639"
"F2","DB07095"
"F2","DB01767"
"F2","DB07440"
"F2","DB07133"
"F2","DB07548"
"F2","DB03136"
"F2","DB06859"
"F2","DB07809"
"F2","DB11166"
"F2","DB06919"
"F2","DB07946"
"F2","DB13152"
"F2","DB07521"
"F2","DB07016"
"F2","DB08062"
"F2","DB06861"
"F2","DB07128"
"F2","DB04898"
"F2","DB07091"
"F2","DB01593"
"F2","DB06404"
"F2","DB04786"
"F2","DB03865"
"F2","DB06695"
"F2","DB06858"
"F2","DB07718"
"F2","DB12598"
"F2","DB06850"
"F2","DB06868"
"F2","DB08061"
"F2","DB00170"
"F2","DB07660"
"F2","DB07944"
"F2","DB08187"
"F2","DB07550"
"F2","DB05714"
"F2","DB01123"
"F2","DB06996"
"F2","DB14487"
"F2","DB07083"
"F2","DB07088"
"F2","DB07120"
"F2","DB01225"
"F2","DB06936"
"F2","DB01766"
"F2","DB08546"
"F2","DB06911"
"F2","DB08152"
"F2","DB04772"
"F2","DB07353"
"F2","DB07527"
"F2","DB07027"
"F2","DB07277"
"F2","DB12831"
"F2","DB05777"
"F2","DB06947"
"F2","DB00055"
"F2","DB00278"
"F2","DB07934"
"F2","DB06878"
"F2","DB07658"
"F2","DB07366"
"F2","DB08624"
"F2","DB09332"
"F2","DB07105"
"F2","DB07376"
"F2","DB06865"
"F2","DB07278"
"F2","DB07165"
"F2","DB08254"
"F2","DB07659"
"F2","DB07741"
"F2","DB06838"
"F2","DB02723"
"F2","DB09228"
"F2","DB02287"
"F2","DB06845"
"F2","DB06869"
"F2","DB07522"
"F2","DB08422"
"F2","DB06929"
"F2","DB07400"
"F2","DB04591"
"F2","DB07279"
"F2","DB14738"
"F2","DB07897"
"F2","DB09130"
"F2","DB07796"
"F2","DB07549"
"F2","DB06853"
"F2","DB04697"
"F2","DB00006"
"F2","DB07508"
"F2","DB07190"
"F2","DB03159"
"F2","DB04722"
"F2","DB07131"
"F2","DB07515"
"F2","DB07665"
"F2","DB04136"
"F2","DB03847"
"F2","DB07461"
"F2","DB06866"
"F2","DB07143"
"F2","DB13151"
"F2","DB06841"
"F2","DB04771"
"F2","DB09109"
"F2","DB00001"
"F2","DB01725"
"F2","DB06942"
"F5","DB11572"
"F5","DB00055"
"F5","DB11312"
"F5","DB13149"
"F5","DB11300"
"F5","DB05777"
"F5","DB11571"
"F5","DB13151"
"FAH","DB01762"
"FAH","DB01677"
"FAH","DB01832"
"FARSA","DB00120"
"FARSB","DB00120"
"FBP1","DB00131"
"FBP1","DB05053"
"FBP1","DB02848"
"FBP1","DB05518"
"FBP1","DB07270"
"FBP1","DB04175"
"FBP1","DB02778"
"FBP1","DB07321"
"FBP1","DB07312"
"FBP1","DB04493"
"FBP1","DB08484"
"FCGR2B","DB11767"
"FCGR2B","DB00087"
"FCGR2B","DB00110"
"FCGR2B","DB00005"
"FCGR2B","DB00028"
"FCGR2B","DB00081"
"FCGR2B","DB00111"
"FCGR2B","DB00098"
"FCGR2B","DB00054"
"FCGR2B","DB00112"
"FEN1","DB14501"
"FEN1","DB14490"
"FEN1","DB01592"
"FEN1","DB14491"
"FEN1","DB14489"
"FEN1","DB14488"
"FHIT","DB04389"
"FHIT","DB02373"
"FKBP1A","DB05814"
"FKBP1A","DB02311"
"FKBP1A","DB08597"
"FKBP1A","DB03621"
"FKBP1A","DB00864"
"FKBP1A","DB04012"
"FKBP1A","DB02888"
"FKBP1A","DB03338"
"FKBP1A","DB01723"
"FKBP1A","DB08231"
"FKBP1A","DB01712"
"FKBP1A","DB01951"
"FKBP1A","DB04094"
"FKBP1A","DB00337"
"FKBP1A","DB08520"
"FN1","DB14548"
"FN1","DB06245"
"FN1","DB14487"
"FN1","DB01593"
"FN1","DB08888"
"FN1","DB14533"
"FRK","DB12010"
"FRK","DB01254"
"FRK","DB08896"
"FRK","DB15035"
"FTCD","DB00142"
"FTCD","DB03256"
"FTCD","DB00116"
"FTH1","DB14491"
"FTH1","DB14490"
"FTH1","DB14501"
"FTH1","DB00893"
"FTH1","DB14488"
"FTH1","DB13995"
"FTH1","DB14489"
"FTH1","DB01592"
"FTL","DB13995"
"FTL","DB09517"
"FTL","DB02285"
"FTL","DB09147"
"FTL","DB00893"
"FUBP1","DB05786"
"FUBP1","DB12893"
"G6PD","DB11638"
"G6PD","DB03461"
"G6PD","DB03085"
"G6PD","DB05107"
"GAK","DB12010"
"GAMT","DB13191"
"GAMT","DB00148"
"GAMT","DB02751"
"GAMT","DB00536"
"GAMT","DB01752"
"GARS","DB00145"
"GBA","DB03740"
"GBA","DB03106"
"GBA","DB08283"
"GBA","DB06720"
"GCAT","DB00145"
"GCAT","DB00114"
"GCDH","DB03147"
"GCDH","DB03245"
"GCSH","DB03187"
"GCSH","DB03760"
"GLDC","DB00114"
"GLS","DB00142"
"GLS2","DB00142"
"GLUD1","DB00756"
"GLUD1","DB11081"
"GLUD1","DB00157"
"GLUD1","DB04137"
"GLUD1","DB00142"
"GLUD2","DB00157"
"GLUD2","DB00142"
"GLYAT","DB00145"
"GLYATL1","DB00145"
"GM2A","DB02261"
"GM2A","DB08231"
"GM2A","DB04660"
"GM2A","DB03633"
"GM2A","DB03017"
"GMPS","DB00142"
"GNMT","DB00118"
"GNMT","DB00145"
"GNMT","DB01752"
"GOT2","DB00128"
"GOT2","DB00151"
"GOT2","DB00114"
"GOT2","DB02783"
"GOT2","DB00142"
"GPD1","DB00331"
"GPD1","DB00157"
"GPHN","DB03766"
"GPHN","DB01942"
"GPHN","DB03366"
"GPT","DB00160"
"GPT","DB00780"
"GPT","DB00114"
"GPT","DB00142"
"GSK3A","DB12010"
"GSK3B","DB04014"
"GSK3B","DB02052"
"GSK3B","DB03444"
"GSK3B","DB14509"
"GSK3B","DB04395"
"GSK3B","DB12129"
"GSK3B","DB01793"
"GSK3B","DB08073"
"GSK3B","DB07014"
"GSK3B","DB07584"
"GSK3B","DB02010"
"GSK3B","DB07859"
"GSK3B","DB07812"
"GSK3B","DB07058"
"GSK3B","DB01772"
"GSK3B","DB12010"
"GSK3B","DB14507"
"GSK3B","DB07676"
"GSK3B","DB07947"
"GSK3B","DB01356"
"GSK3B","DB07149"
"GSK3B","DB07585"
"GSK3B","DB14508"
"GSK3B","DB01950"
"GSN","DB14487"
"GSN","DB09130"
"GSN","DB02621"
"GSN","DB01593"
"GSTA1","DB04132"
"GSTA1","DB03003"
"GSTA1","DB03619"
"GSTA1","DB01915"
"GSTA1","DB02943"
"GSTA1","DB02486"
"GSTA1","DB00143"
"GSTA1","DB03310"
"GSTA1","DB03602"
"GSTA1","DB13014"
"GSTA2","DB14001"
"GSTA2","DB00143"
"GSTA2","DB00608"
"GSTZ1","DB08809"
"GSTZ1","DB04447"
"GSTZ1","DB09462"
"GSTZ1","DB00143"
"HABP2","DB08818"
"HADH","DB09568"
"HADH","DB00157"
"HADH","DB03059"
"HADH","DB03612"
"HAGH","DB00143"
"HAGH","DB03889"
"HAL","DB00117"
"HAO1","DB07907"
"HAO1","DB07060"
"HAO1","DB03064"
"HAO1","DB15935"
"HAO1","DB06979"
"HAO1","DB03884"
"HAO1","DB02164"
"HAO1","DB03247"
"HAO1","DB02279"
"HAO1","DB04374"
"HAO2","DB03247"
"HCK","DB04216"
"HCK","DB01809"
"HCK","DB01962"
"HCK","DB06616"
"HCK","DB12010"
"HDAC1","DB14548"
"HDAC1","DB05223"
"HDAC1","DB01262"
"HDAC1","DB05015"
"HDAC1","DB01169"
"HDAC1","DB08868"
