"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1082","3.00973236","0.00122734","0.33225546","0.36842105","19","5","false","7","MME","25.57894737","19","0",,,"0","0.71289538","false","0","MME","24636","0.13157895"
"1660","2.79237632","0.00402728","0.35811792","0.28656463","49","5","false","2","UGT1A6","29.32653061","49","0",,,"0","0.74394624","false","0","UGT1A6","174146","0.08780398"
"1661","3.23925385","8.129E-5","0.30871307","0.67368421","20","5","false","2","UGT1A4","40.45","20","0",,,"0","0.68010659","false","0","UGT1A4","4240","0.26966667"
"1662","2.78669911","0.00433596","0.3588475","0.28146259","49","5","false","2","UGT1A1","28.6122449","49","0",,,"0","0.74475727","false","0","UGT1A1","180194","0.0888579"
"1084","3.96836983","0.0017122","0.25199264","0.0","5","6","false","9","ANO6","2.6","5","0",,,"0","0.57594717","false","0","ANO6","28080","0.2"
"1085","3.41768045","9.9569E-4","0.29259611","0.0","4","5","false","8","ANO1","23.75","4","0",,,"0","0.65461708","false","0","ANO1","13956","0.25277778"
"1663","2.43309002","0.0132041","0.411","0.23843892","87","4","false","4","TOP1","63.45977011","87","0",,,"0","0.79527285","false","0","TOP1","492610","0.09104702"
"1664","2.68207624","0.0120056","0.37284548","0.11341463","41","5","false","7","TJP1","26.26829268","41","0",,,"0","0.75970339","false","0","TJP1","265650","0.05708808"
"1665","3.29034874","1.932E-5","0.30391915","0.80116959","19","5","false","2","SULT1A1","42.42105263","19","0",,,"0","0.67280732","false","0","SULT1A1","884","0.33402404"
"359","3.05352798","9.95E-6","0.32749004","0.33333333","4","5","false","5","FARSA","94.5","4","0",,,"0","0.70663886","false","0","FARSA","490","0.3516791"
"1666","2.43065693","0.00757402","0.41141141","0.21535088","96","4","false","4","SMARCA4","53.57291667","96","0",,,"0","0.79562044","false","0","SMARCA4","250528","0.08016779"
"501","3.10867802","1.12E-6","0.32168015","0.8","5","5","false","5","YTHDF3","137.4","5","0",,,"0","0.69876028","false","0","YTHDF3","78","0.43481013"
"1667","3.07623682","0.00216647","0.3250725","0.48366013","18","5","false","2","SLCO2B1","33.61111111","18","0",,,"0","0.70339474","false","0","SLCO2B1","41350","0.21034242"
"1088","3.26277372","5.127E-5","0.3064877","0.33333333","4","5","false","1","ANGPTL3","44.75","4","0",,,"0","0.67674661","false","0","ANGPTL3","1576","0.29865772"
"1668","3.12246553","1.7745E-4","0.32025974","0.61038961","22","5","false","2","SLCO1B3","36.36363636","22","0",,,"0","0.69679064","false","0","SLCO1B3","7454","0.26350461"
"724","2.78021087","4.722E-5","0.35968495","0.67028986","24","5","false","4","RAD50","73.91666667","24","0",,,"0","0.74568416","false","0","RAD50","4276","0.17150039"
"1669","2.88483374","0.00120765","0.34664043","0.55862069","30","5","false","2","SLCO1B1","37.1","30","0",,,"0","0.73073804","false","0","SLCO1B1","41584","0.14535948"
"1670","2.98621249","0.00231969","0.33487235","0.56190476","21","5","false","2","SLC22A1","38.57142857","21","0",,,"0","0.71625536","false","0","SLC22A1","56414","0.18041583"
"502","3.22384428","0.0","0.31018868","1.0","4","5","false","5","WBP11","147.75","4","0",,,"0","0.68230796","false","0","WBP11","0","0.55965909"
"1089","3.24493106","1.64E-6","0.30817296","0.33333333","3","5","false","4","ANAPC5","63.33333333","3","0",,,"0","0.67929556","false","0","ANAPC5","106","0.45"
"1672","2.89862125","0.00122157","0.34499161","0.32380952","21","5","false","2","PON1","38.42857143","21","0",,,"0","0.72876839","false","0","PON1","27396","0.13127854"
"1090","2.5782644","0.00479191","0.38785782","0.12956108","62","5","false","6","CSE1L","38.30645161","62","0",,,"0","0.77453366","false","0","CSE1L","127308","0.07134689"
"1673","2.69586375","0.00333","0.37093863","0.28623188","24","5","false","7","OCLN","37.66666667","24","0",,,"0","0.75773375","false","0","OCLN","72334","0.08659004"
"1091","3.0162206","1.035E-5","0.33154074","0.2","5","5","false","4","ANAPC2","66.4","5","0",,,"0","0.71196849","false","0","ANAPC2","460","0.275"
"1674","2.45660989","0.00852656","0.40706504","0.16328502","46","4","false","4","NR3C1","51.52173913","46","0",,,"0","0.79191287","false","0","NR3C1","283806","0.07732733"
"726","2.72262774","5.4867E-4","0.36729223","0.39181287","19","5","false","5","NHP2","113.15789474","19","0",,,"0","0.75391032","false","0","NHP2","47124","0.20352139"
"1092","2.61394972","0.00400106","0.38256283","0.34470247","53","5","false","4","MCM6","52.88679245","53","0",,,"0","0.76943575","false","0","MCM6","97644","0.10009291"
"1677","2.75020276","0.00410586","0.36360955","0.28571429","15","5","false","2","MRPS7","56.86666667","15","0",,,"0","0.74997103","false","0","MRPS7","104742","0.13012967"
"1680","2.09407948","0.07536523","0.47753679","0.08674985","154","4","false","6","HSPA4","39.88311688","154","0",,,"0","0.84370293","false","0","HSPA4","1691708","0.04095647"
"1681","3.26034063","1.2199E-4","0.30671642","0.33333333","4","5","false","7","HIP1R","37.25","4","0",,,"0","0.6770942","false","0","HIP1R","2554","0.30578512"
"727","2.55068938","0.00129771","0.39205087","0.48","26","5","false","5","LARP7","122.19230769","26","0",,,"0","0.77847295","false","0","LARP7","80220","0.19267168"
"1683","2.37145174","0.03435595","0.42168263","0.110129","92","5","false","7","FN1","25.98913043","92","0",,,"0","0.80407832","false","0","FN1","702954","0.0360158"
"1093","2.41768045","0.00999124","0.41361959","0.17818182","100","4","false","5","PRMT1","51.42","100","0",,,"0","0.79747422","false","0","PRMT1","294654","0.07683109"
