DrugID,label,module
C4WN9O,D,2
C80EVI,D,2
CW6OF8,D,2
C0BZF7,D,2
D0A4IJ,D,2
C28QBM,D,2
C30TAS,D,2
CRQ7U8,D,2
CH70XJ,D,2
CDWP76,D,2
C5CGI0,D,2
CU8SA2,D,2
CO47RI,D,2
CURB73,D,2
C8Q9ST,D,2
CY8X3L,D,2
C63OKC,D,2
C7AB2T,D,2
DB04877,D,2
DB14069,D,2
CS4RX9,D,2
C86TMI,D,2
CGC9R1,D,2
C2SNI0,D,2
CV15BM,D,2
CAP4K6,D,2
CTK36H,D,2
CHY15F,D,2
DB14064,D,2
DB14070,D,2
CKGZ01,D,2
C2F3HN,D,2
CT02XU,D,2
CG8DU1,D,2
CLD92G,D,2
C1SA2Z,D,2
D0E5IP,D,2
CVX35C,D,2
CD13BT,D,2
CDG0S3,D,2
C4C8GW,D,2
C1KVC4,D,2
CZ4A5S,D,2
CN31VJ,D,2
CK8TP4,D,2
C0FWV8,D,2
C1CWL8,D,2
CJM3F6,D,2
C7SMU4,D,2
CAYU05,D,2
C7SBD8,D,2
C5UW8N,D,2
C65FNY,D,2
CW97HM,D,2
CG1CU7,D,2
CFRS42,D,2
CUJ58E,D,2
D09MGF,D,2
C1MO2L,D,2
D01GFX,D,2
CZ09WP,D,2
C8ATZ5,D,2
CU06MC,D,2
C42ETW,D,2
CGQ07O,D,2
CFN41J,D,2
CW57MC,D,2
C02TEP,D,2
C5A2OP,D,2
CF92IR,D,2
CU4W7M,D,2
C4MS6D,D,2
CJ79SK,D,2
CNZA83,D,2
CT2KC5,D,2
C5C8SB,D,2
CBX2A7,D,2
CW2PL7,D,2
CB6WA8,D,2
C2M3DA,D,2
CVP2Q4,D,2
C9CPO7,D,2
CO12MI,D,2
C6KZA1,D,2
CL97OF,D,2
CN6Q3L,D,2
CTG6I2,D,2
CRHG31,D,2
CH4Z9E,D,2
C4JG5S,D,2
C0OSX2,D,2
COK46A,D,2
CUK5Q9,D,2
CYJ4P5,D,2
CI1Y5L,D,2
C4SF6T,D,2
CBP60G,D,2
D02DPA,D,2
CG16KE,D,2
CRY4C6,D,2
CA2N0L,D,2
CL4K9O,D,2
CUSI65,D,2
D00AII,D,2
C4DH6E,D,2
CKMF95,D,2
CN3ZY9,D,2
C56AHP,D,2
D09HIM,D,2
CF34BZ,D,2
C0AJM1,D,2
C93RKG,D,2
CJE5V8,D,2
CDF3H2,D,2
CTW8I2,D,2
C2HB8V,D,2
CZ0H9P,D,2
CCN4A6,D,2
C7D4FJ,D,2
CL8Z0F,D,2
CFHN34,D,2
CTC45Y,D,2
C3IEL0,D,2
CXQN27,D,2
C5SVN1,D,2
C6ZK3C,D,2
CB4GE0,D,2
CJXP74,D,2
CXP2M4,D,2
CS18PU,D,2
CS0E3J,D,2
C7SC4L,D,2
CDQ8H7,D,2
CFL45O,D,2
CL78EU,D,2
CY82SI,D,2
D0OS6O,D,2
CU5C7V,D,2
CHYW74,D,2
C4NMT5,D,2
C2WYN9,D,2
C0P6IG,D,2
C7W1TP,D,2
C0JIZ8,D,2
CJ7T4M,D,2
D0T3ME,D,2
C8A0FU,D,2
CLD6J9,D,2
D0Y2HR,D,2
COI82Z,D,2
CZN1R3,D,2
C8OB6U,D,2
C6YN1V,D,2
C7T0UM,D,2
CD73XG,D,2
CG95OM,D,2
C7U5JX,D,2
C3ZVG8,D,2
CM8LO4,D,2
CJGX37,D,2
C8BM4N,D,2
C93BJO,D,2
CAEN90,D,2
C8KLW6,D,2
CV2E0X,D,2
CQT28C,D,2
C8TQB0,D,2
COC9A5,D,2
CH2EY3,D,2
CV0T5G,D,2
C5ZYN3,D,2
CF3ML0,D,2
CMVW98,D,2
C0GVI7,D,2
CU5KQ1,D,2
CG8KV7,D,2
CBA92W,D,2
CW6SA0,D,2
C6M3ZN,D,2
C1K2PA,D,2
CN30LW,D,2
CUNV65,D,2
C1BGV2,D,2
C5OR9X,D,2
CC4EW9,D,2
CHT79A,D,2
D09LSY,D,2
C2Z7TF,D,2
C03YNU,D,2
C9V4FA,D,2
C5CTA9,D,2
C5SEU9,D,2
CD9EI5,D,2
C7ZR1Q,D,2
CMIW83,D,2
CFXP14,D,2
C1JH4L,D,2
CQ9GX3,D,2
C38GIB,D,2
CPHR19,D,2
D06DCL,D,2
CIE5C9,D,2
CP76MH,D,2
CN28SM,D,2
CY4WG9,D,2
C9BGT5,D,2
CEM28H,D,2
C4PU0N,D,2
C0Q5SL,D,2
CL1B2G,D,2
CWKG62,D,2
C7N9HZ,D,2
CPOZ18,D,2
CMU7H3,D,2
CWP09Q,D,2
CV24FH,D,2
CP1K0B,D,2
CX2CP8,D,2
CB0ZS5,D,2
CA3V5K,D,2
CNUX50,D,2
C1V7GY,D,2
C8J0LX,D,2
C5PKZ2,D,2
C3C5FJ,D,2
CWA3Z9,D,2
CS3E7W,D,2
CX43TI,D,2
CZUI80,D,2
C0ZQO6,D,2
C4ZXU0,D,2
C0QET9,D,2
CM47UV,D,2
C7UV4H,D,2
C9HGO6,D,2
CV87LG,D,2
C86HEA,D,2
CZIF02,D,2
CKT0V3,D,2
CV03LW,D,2
CXK7Z8,D,2
CHB0O8,D,2
C1D3IV,D,2
C4S9WG,D,2
CZXN91,D,2
C6KDC7,D,2
CKZ01T,D,2
CP5X4J,D,2
CU7E0V,D,2
D0B7EB,D,2
C3FB6Q,D,2
CZ4A5K,D,2
D02OZE,D,2
C2YGR9,D,2
C0VD4P,D,2
C4L8XR,D,2
C6R5MV,D,2
D0AW4W,D,2
C5BG9O,D,2
CJK78Z,D,2
CYXN27,D,2
CZ7UI5,D,2
C6LRO0,D,2
CBE8Y3,D,2
D04GYT,D,2
C5VRT4,D,2
C1HDJ5,D,2
C2ML9T,D,2
C4GX9Z,D,2
C7D1QN,D,2
C8B3LI,D,2
CFC7P2,D,2
CBQ8K0,D,2
CFH6U3,D,2
C1JCB9,D,2
C9JUX7,D,2
CP0D5O,D,2
CN2WF6,D,2
CV80DI,D,2
C50LDI,D,2
CG3LK4,D,2
CVXI38,D,2
CE75GW,D,2
D0U6LM,D,2
D0GS2W,D,2
C6WH9Z,D,2
DB00328,D,2
CLC02T,D,2
CIW7X5,D,2
D0A0OO,D,2
C5LK3Q,D,2
CYM3H9,D,2
CWK3L0,D,2
C4L3NU,D,2
C72EHU,D,2
CN03BJ,D,2
CGKI54,D,2
CFO9D1,D,2
CE2RN1,D,2
CE34NU,D,2
C9-NOV-07,D,2
C0D7HE,D,2
CHM38S,D,2
CRT9Y6,D,2
