name1	name2	TFCs
ABAT	PLBD1	23.6563821791707
ABAT	PLBD2	21.486425734603
ABAT	PTPN23	14.5526973184837
ABAT	SCP2	19.2804819081396
ABAT	SORD	16.047094438732
ABAT	UPB1	29.3224971060142
ABCB1	ABCF2	5.27480275882686
ABCB1	ABCF3	5.46410961721209
ABCB1	ANXA2	17.2657413493542
ABCB1	APOE	16.5432329931173
ABCB1	ATP2B1	33.9814475832429
ABCB1	ATP2B2	25.83565211013
ABCB1	ATP2B4	20.5605386570553
ABCB1	CASP3	17.9044551969116
ABCB1	CES1	17.1263637849208
ABCB1	COMT	11.2249667199674
ABCB1	CYP1A2	14.2342048112698
ABCB1	CYP2A6	15.5956143621703
ABCB1	CYP2B6	14.5701168703832
ABCB1	CYP2C8	17.4655877900468
ABCB1	CYP2C9	13.7960630572464
ABCB1	CYP2D6	14.192258306696
ABCB1	CYP2E1	13.6134399811414
ABCB1	CYP2J2	20.6261463073465
ABCB1	CYP3A4	12.692598249822
ABCB1	CYP3A5	12.9495397581875
ABCB1	CYP3A7	16.003076743044
ABCB1	CYP4F2	16.5007460832719
ABCB1	CYP7A1	8.66837151553317
ABCB1	FN1	28.7103138132728
ABCB1	GGH	12.9241763054463
ABCB1	HIP1R	25.2633114502195
ABCB1	HSP90AB1	22.1623684908165
ABCB1	HSPA4	26.2048731818481
ABCB1	HTT	21.6179577597151
ABCB1	MAPK3	21.3042627144637
ABCB1	MRPS7	13.3691454879324
ABCB1	MTOR	19.7787637359144
ABCB1	MVP	14.8415750873605
ABCB1	NR3C1	11.1661368262366
ABCB1	OCLN	17.5299958254717
ABCB1	PON1	19.3046313745795
ABCB1	RELA	17.7612367042541
ABCB1	RPA1	19.6866112361606
ABCB1	SLC22A1	38.2763029592984
ABCB1	SLCO1B1	20.6340276451045
ABCB1	SLCO1B3	24.1890710308754
ABCB1	SLCO2B1	38.6183028285621
ABCB1	SMARCA4	17.5410008628284
ABCB1	SULT1A1	11.5614147621662
ABCB1	TJP1	20.1170267124076
ABCB1	TOP1	23.1245929307703
ABCB1	UGT1A1	10.8730966733306
ABCB1	UGT1A4	10.8004568789657
ABCB1	UGT1A6	10.2139660550213
ABCB1	UGT1A9	12.3763356256497
ABCB1	UGT2B7	10.9632225240263
ABCB10	ALAD	16.6550582431406
ABCB10	PPOX	9.45368965953488
ABCB10	SLC46A1	21.5084878269511
ABCB11	ABCC3	37.0393366927968
ABCB11	ABCF1	23.8507983307153
ABCB11	ABCF3	3.26577544079762
ABCB11	AKR1D1	24.1970873341347
ABCB11	ATP11C	27.0751071152724
ABCB11	BAAT	35.861651882921
ABCB11	CARM1	17.918271918755
ABCB11	CROT	32.6613625152348
ABCB11	CYP1A2	32.1363253500777
ABCB11	CYP2B6	29.5420183856648
ABCB11	CYP2C8	33.6849257598352
ABCB11	CYP2C9	33.6600458749061
ABCB11	CYP2E1	31.6764334027468
ABCB11	CYP3A4	31.7273586272471
ABCB11	CYP7A1	31.7422737849826
ABCB11	CYP8B1	19.2968726269855
ABCB11	DNAJC3	20.9559520131094
ABCB11	GPT	43.3437724035185
ABCB11	MRPS7	16.0771528296561
ABCB11	SLC22A1	23.8510528579196
ABCB11	SLC27A5	44.9409492341916
ABCB11	SLCO1B1	18.6475699694186
ABCB11	SLCO1B3	19.0361044681974
ABCB11	SLCO2B1	30.4408871064258
ABCB11	SRSF6	29.9724880435928
ABCB11	SULT2A1	19.5863718627675
ABCB11	UGT1A1	26.3925465447488
ABCB11	UGT1A6	17.2955596254482
ABCB11	UGT2B4	41.1379267549726
ABCB11	VPS33B	32.4184027358118
ABCB6	ABCF1	28.6846484172095
ABCB6	ABCF2	3.78084196048278
ABCB6	ABCF3	2.52136227594722
ABCB6	ALAD	18.4258360236265
ABCB6	ATP1B3	24.6024551279036
ABCB6	BCKDHB	9.40661532719243
ABCB6	MRPS14	15.4490138065394
ABCB6	PPOX	27.4966692115079
ABCB6	SLC46A1	30.0726171116709
ABCB6	TFRC	26.1982875982189
ABCB6	TSG101	17.3655087006659
