name1	name2	TFCs
ABAT	ALDH2	14.0108041573521
ABAT	ALDH4A1	30.8524157221779
ABAT	ALDH6A1	30.3133751559609
ABAT	ALDH8A1	21.6950358856795
ABAT	ALDOB	13.9009368161204
ABAT	AOC3	17.5119014176116
ABAT	AOX1	20.7084401741879
ABAT	ASL	17.7062222543565
ABAT	ASS1	22.3032988661344
ABAT	CAT	14.4747613364306
ABAT	DAO	27.1416459550076
ABAT	DBT	53.9326254286791
ABAT	DCXR	17.0849648323717
ABAT	EHHADH	19.106833348349
ABAT	FABP4	12.6429993762095
ABAT	FABP5	11.1968278762991
ABAT	FAH	25.9894813253282
ABAT	FTCD	24.4625212979765
ABAT	GLUD1	24.1533679487298
ABAT	GLUD2	25.8980677200785
ABAT	GOT2	29.1977702093949
ABAT	GPT	42.3085121740761
