name1	name2	module
AGO2	EFTUD2	5
AHSA1	DNAJC7	6
AHSA1	CHORDC1	6
AHSA1	HSPBP1	6
AHSA1	FKBP5	6
AHSA1	BAG2	6
AHSA1	STIP1	6
AHSA1	HSPH1	6
AHSA1	TOMM34	6
AHSA1	CDC37	6
AHSA1	FKBP8	6
AHSA1	SGTA	6
AHSA1	TARS2	6
AHSA1	HSPA2	6
AHSA1	IPO9	6
AKR1B10	PTGR1	1
AKR1B10	DAK	1
AKR1B10	PAH	1
AKR1B10	RBKS	1
AKR1B10	DHRS1	1
AKR1B10	AKR7A3	1
AKR1B10	ALDH1B1	1
AKR1B10	BCAT2	1
AKR1B10	GSTZ1	1
AKR1C4	UGT2B4	2
AKR1C4	HSD17B6	2
AKR1C4	UGT2B17	2
AKR1C4	UGT2B15	2
AKR1C4	AKR1D1	2
AKR1C4	UGT1A4	2
ALDH2	DBT	1
ALDH2	ASS1	1
ALDH2	ALDH4A1	1
ALDH2	GLS	1
ALDH2	UPB1	1
ALDH2	GLS2	1
ALDH2	GLYCTK	1
ALDH2	PCCA	1
ALDH2	GCDH	1
ALDH2	EHHADH	1
ALDH2	ALDH6A1	1
ALOX5	CYP4F2	2
ALOX5	PTGIS	2
ALOX5	PTGS1	2
ALOX5	CYP4A11	2
ALOX5	CYP4A22	2
ALOX5	MNDA	2
ANO6	SLC12A7	9
ANO6	ANTXR2	9
ANO6	ATP11C	9
ANXA2	ELMO1	7
ANXA2	SLC9A3R2	7
ANXA2	CAPG	7
ANXA2	LPA	7
AOC3	FCGR2B	7
AOC3	ENTPD1	7
APEX1	DUT	4
APEX1	SSBP1	4
APEX1	SET	4
APEX1	OSGEP	4
APEX1	SAE1	4
APEX1	HMGB2	4
APEX1	MCM4	4
APOE	SDC2	7
APOE	INPP5D	7
APOE	CD59	7
APOE	GIG25	7
APOE	PVRL2	7
APOE	IDE	7
APOE	TMEM106B	7
APOE	LPA	7
APOE	CD2AP	7
ARFIP1	OCIAD2	2
ARFIP1	HSD17B8	2
ARG1	SRM	1
ARG1	PCCA	1
ARG1	SUOX	1
ARG1	HAL	1
ARG1	ASS1	1
ARG1	UROC1	1
ARG1	CTH	1
ARG1	OTC	1
ARG1	ASPG	1
ARG1	TDO2	1
ARG1	PRODH	1
ASL	OTC	1
ASL	GAMT	1
ASL	IDH3G	1
ASL	IDH3B	1
ASL	SDSL	1
ASL	SDS	1
ASL	CTH	1
ASL	ASS1	1
ASL	SRM	1
ASL	ASPG	1
ASL	PRODH	1
BAG3	HSPBP1	6
BAG3	CDC37	6
BAG3	HSPA2	6
BAG3	HSPA14	6
BAG3	HSPH1	6
BAG3	PSMG1	6
BAG3	STIP1	6
BHMT	SPG21	1
BHMT	GAMT	1
BHMT	DMGDH	1
BHMT	SELENBP1	1
BHMT	CTH	1
BHMT	SARDH	1
BHMT	SHMT1	1
BHMT	SDS	1
BHMT	FBP2	1
BHMT	SDSL	1
BHMT	CBSL	1
BHMT	BHMT2	1
BHMT	UPB1	1
BHMT	GLDC	1
BHMT	MTHFD1	1
BHMT	PCYT1A	1
BHMT	TAT	1
BIRC6	USP24	4
BIRC6	SKP1	4
BIRC6	UBR4	4
BIRC6	UBE2H	4
BIRC6	SMG1	4
BIRC6	PDS5A	4
BIRC6	HERC2	4
BIRC6	NAE1	4
BRI3BP	ZNF207	10
CADM1	MPP6	11
CARM1	TBL1XR1	4
CARM1	SMARCC2	4
CARM1	TOP3B	4
CARM1	SMARCE1	4
CARM1	TCOF1	4
CARM1	POLR2A	4
CAT	GPD2	1
CAT	PEX16	1
CAT	SCP2	1
CAT	SUOX	1
CAT	PHYHD1	1
CAT	EPHX2	1
CAT	ENO3	1
CAT	HAO2	1
CAT	PEX11B	1
CAT	SLC27A2	1
CAT	HAGH	1
CAT	HAO1	1
CAT	DHRS4	1
CAT	PTGR1	1
CAT	PIPOX	1
CAT	EHHADH	1
CAT	HAAO	1
CAT	ZADH2	1
CAT	DHRS1	1
CAT	KYNU	1
CAT	FAHD2A	1
CAT	PEX11G	1
CAT	GRHPR	1
CAT	CBSL	1
CAT	MLYCD	1
CAT	MSRA	1
CAT	CTH	1
CAT	GCDH	1
CAT	DAO	1
CAT	NPEPL1	1
CAT	NME7	1
CAT	HMGCL	1
CAT	PEX6	1
CAT	CROT	1
CAT	PRODH	1
CAT	PEX1	1
CAT	XDH	1
CBX3	POLR2A	4
CBX3	SP100	4
CBX3	CHAMP1	4
CBX3	MTA2	4
CD151	CD97	7
CD151	DST	7
CD151	CD46	7
CD151	LGALS8	7
CD151	CD163	7
CD40	SYK	7
CD40	CD93	7
CD40	PDLIM7	7
CD40	LYN	7
CD40	FCGR2B	7
CD40	CD46	7
CD40	ENTPD1	7
CD40	STAM	7
CD81	GOLGA2	7
CD81	RAB35	7
CDK2	CDK6	4
CDK2	UBE2M	4
CDK2	DUT	4
CDK2	POLR2A	4
CDK2	RAD50	4
CDK2	SKP1	4
CDK2	UBTF	4
CDK2	TUBG1	4
CDK2	MCM4	4
CDK9	TCEA1	4
CDK9	MED23	4
CDK9	MMS19	4
CDK9	POLR2C	4
CDK9	NELFB	4
CDK9	TCEB2	4
CDK9	SUPT6H	4
